contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,spread
AAPL250801C00170000,2025-07-30 17:40:11+00:00,170.0,40.17,38.1,39.55,0.0,0.0,5.0,56,1.2695349023437497,True,REGULAR,USD,1.4499999999999957
AAPL250801C00175000,2025-07-30 15:34:12+00:00,175.0,35.0,33.5,35.3,0.0,0.0,5.0,39,1.5917989160156247,True,REGULAR,USD,1.7999999999999972
AAPL250801C00180000,2025-07-31 14:17:15+00:00,180.0,29.27,28.5,28.95,-3.0299988,-9.380801,20.0,390,1.0996138769531252,True,REGULAR,USD,0.4499999999999993
AAPL250801C00182500,2025-07-31 13:34:53+00:00,182.5,26.95,25.9,26.85,-1.25,-4.432624,5.0,12,0.9414068359375,True,REGULAR,USD,0.9500000000000028
AAPL250801C00185000,2025-07-30 16:54:29+00:00,185.0,23.99,23.45,24.0,-0.8600006,-3.460767,20.0,145,0.96679720703125,True,REGULAR,USD,0.5500000000000007
AAPL250801C00187500,2025-07-31 13:43:36+00:00,187.5,21.7,21.05,21.3,-0.69999886,-3.124995,2.0,117,0.6894562304687502,True,REGULAR,USD,0.25
AAPL250801C00192500,2025-07-31 13:33:43+00:00,192.5,17.6,16.3,16.5,1.2000008,7.317078,7.0,67,0.6367223828125,True,REGULAR,USD,0.1999999999999993
AAPL250801C00195000,2025-07-31 15:10:53+00:00,195.0,14.25,14.0,14.25,-0.07999992,-0.55826885,136.0,1227,0.6699251757812501,True,REGULAR,USD,0.25
AAPL250801C00197500,2025-07-31 15:08:22+00:00,197.5,12.2,11.9,12.1,0.19999981,1.6666651,79.0,157,0.6987334814453126,True,REGULAR,USD,0.1999999999999993
AAPL250801C00200000,2025-07-31 15:08:22+00:00,200.0,10.15,9.9,10.05,-0.09000015,-0.87890774,723.0,2230,0.7050810742187501,True,REGULAR,USD,0.15000000000000036
AAPL250801C00202500,2025-07-31 15:10:20+00:00,202.5,8.3,8.25,8.35,0.10000038,1.2195169,664.0,906,0.7436549072265625,True,REGULAR,USD,0.09999999999999964
AAPL250801C00207500,2025-07-31 15:12:07+00:00,207.5,5.15,5.05,5.15,-0.049999714,-0.9708683,4791.0,1693,0.7251004052734374,True,REGULAR,USD,0.10000000000000053
AAPL250801C00210000,2025-07-31 15:12:10+00:00,210.0,3.95,3.9,4.0,0.03999996,1.0230169,9570.0,16173,0.7368190380859375,False,REGULAR,USD,0.10000000000000009
AAPL250801C00212500,2025-07-31 15:11:16+00:00,212.5,2.89,2.88,2.91,0.0400002,1.4035158,4186.0,9875,0.72851833984375,False,REGULAR,USD,0.03000000000000025
AAPL250801C00217500,2025-07-31 15:12:15+00:00,217.5,1.5,1.5,1.51,0.14999998,11.11111,4017.0,11922,0.7351100708007812,False,REGULAR,USD,0.010000000000000009
AAPL250801C00220000,2025-07-31 15:11:35+00:00,220.0,1.01,1.0,1.02,0.15999997,19.047613,12098.0,28206,0.72851833984375,False,REGULAR,USD,0.020000000000000018
AAPL250801C00222500,2025-07-31 15:12:10+00:00,222.5,0.69,0.68,0.7,0.18,35.294117,3748.0,11357,0.7338893798828124,False,REGULAR,USD,0.019999999999999907
AAPL250801C00225000,2025-07-31 15:11:34+00:00,225.0,0.45,0.44,0.46,0.13999999,45.161285,4014.0,17148,0.73437765625,False,REGULAR,USD,0.020000000000000018
AAPL250801C00227500,2025-07-31 15:09:59+00:00,227.5,0.3,0.29,0.3,0.110000014,55.00001,1486.0,6176,0.7392604199218749,False,REGULAR,USD,0.010000000000000009
AAPL250801C00230000,2025-07-31 15:12:18+00:00,230.0,0.2,0.2,0.21,0.080000006,66.66668,8294.0,20766,0.754885263671875,False,REGULAR,USD,0.009999999999999981
AAPL250801C00232500,2025-07-31 15:12:22+00:00,232.5,0.14,0.13,0.14,0.060000002,75.0,7253.0,8038,0.76367423828125,False,REGULAR,USD,0.010000000000000009
AAPL250801C00235000,2025-07-31 15:11:30+00:00,235.0,0.1,0.09,0.1,0.05,100.0,2940.0,7508,0.7812521875,False,REGULAR,USD,0.010000000000000009
AAPL250801C00237500,2025-07-31 14:49:27+00:00,237.5,0.07,0.06,0.07,0.030000001,75.0,1271.0,4239,0.7949239257812499,False,REGULAR,USD,0.010000000000000009
AAPL250801C00240000,2025-07-31 15:07:41+00:00,240.0,0.05,0.04,0.05,0.030000001,150.0,4369.0,9811,0.8085956640624999,False,REGULAR,USD,0.010000000000000002
AAPL250801C00242500,2025-07-31 14:55:45+00:00,242.5,0.04,0.03,0.04,0.02,100.0,1689.0,3559,0.8359391406249999,False,REGULAR,USD,0.010000000000000002
AAPL250801C00245000,2025-07-31 15:06:06+00:00,245.0,0.03,0.02,0.03,0.02,200.0,542.0,3778,0.851563984375,False,REGULAR,USD,0.009999999999999998
